alleg[V][Trns][Opt][PRS][2Sg][1Pl]	allegkut
alleg[V][Trns][Opt][PRS][2Sg][1Sg]	allegnga
alleg[V][Trns][Opt][PRS][2Sg][3Du]	allegkek
alleg[V][Trns][Opt][PRS][2Sg][3Pl]	allegki
alleg[V][Trns][Opt][PRS][2Sg][3Sg]	aallgu
aqfa[V][Trns][Opt][PRS][2Sg][1Pl]	aqfakut
aqfa[V][Trns][Opt][PRS][2Sg][1Sg]	aqfanga
aqfa[V][Trns][Opt][PRS][2Sg][3Du]	aqfakek
aqfa[V][Trns][Opt][PRS][2Sg][3Pl]	aqfaki
aqfa[V][Trns][Opt][PRS][2Sg][3Sg]	aqfagu
egte[V][Trns][Opt][PRS][2Sg][1Pl]	egtikut
egte[V][Trns][Opt][PRS][2Sg][1Sg]	egtinga
egte[V][Trns][Opt][PRS][2Sg][3Du]	egtikek
egte[V][Trns][Opt][PRS][2Sg][3Pl]	egtiki
egte[V][Trns][Opt][PRS][2Sg][3Sg]	egtigu
gaagh[V][Trns][Opt][PRS][2Sg][1Pl]	gaaghqut
gaagh[V][Trns][Opt][PRS][2Sg][1Sg]	gaaghnga
gaagh[V][Trns][Opt][PRS][2Sg][3Du]	gaaghqek
gaagh[V][Trns][Opt][PRS][2Sg][3Pl]	gaaghqi
gaagh[V][Trns][Opt][PRS][2Sg][3Sg]	gaaghhu
kaaw[V][Trns][Opt][PRS][2Sg][1Pl]	kaawkut
kaaw[V][Trns][Opt][PRS][2Sg][1Sg]	kaawnga
kaaw[V][Trns][Opt][PRS][2Sg][3Du]	kaawkek
kaaw[V][Trns][Opt][PRS][2Sg][3Pl]	kaawki
kaaw[V][Trns][Opt][PRS][2Sg][3Sg]	kaaggu
kayusigh[V][Trns][Opt][PRS][2Sg][1Pl]	kayusighqut
kayusigh[V][Trns][Opt][PRS][2Sg][1Sg]	kayusighnga
kayusigh[V][Trns][Opt][PRS][2Sg][3Du]	kayusighqek
kayusigh[V][Trns][Opt][PRS][2Sg][3Pl]	kayusighqi
kayusigh[V][Trns][Opt][PRS][2Sg][3Sg]	kayusighhu
lata[V][Trns][Opt][PRS][2Sg][1Pl]	latakut
lata[V][Trns][Opt][PRS][2Sg][1Sg]	latanga
lata[V][Trns][Opt][PRS][2Sg][3Du]	latakek
lata[V][Trns][Opt][PRS][2Sg][3Pl]	lataki
lata[V][Trns][Opt][PRS][2Sg][3Sg]	latagu
liite[V][Trns][Opt][PRS][2Sg][1Pl]	liitikut
liite[V][Trns][Opt][PRS][2Sg][1Sg]	liitinga
liite[V][Trns][Opt][PRS][2Sg][3Du]	liitikek
liite[V][Trns][Opt][PRS][2Sg][3Pl]	liitiki
liite[V][Trns][Opt][PRS][2Sg][3Sg]	liitigu
nagate[V][Trns][Opt][PRS][2Sg][1Pl]	nagatikut
nagate[V][Trns][Opt][PRS][2Sg][1Sg]	nagatinga
nagate[V][Trns][Opt][PRS][2Sg][3Du]	nagatikek
nagate[V][Trns][Opt][PRS][2Sg][3Pl]	nagatiki
nagate[V][Trns][Opt][PRS][2Sg][3Sg]	nagatigu
payegh[V][Trns][Opt][PRS][2Sg][1Pl]	payeghqut
payegh[V][Trns][Opt][PRS][2Sg][1Sg]	payeghnga
payegh[V][Trns][Opt][PRS][2Sg][3Du]	payeghqek
payegh[V][Trns][Opt][PRS][2Sg][3Pl]	payeghqi
payegh[V][Trns][Opt][PRS][2Sg][3Sg]	paasghu
pugimagh[V][Trns][Opt][PRS][2Sg][1Pl]	pugimaghqut
pugimagh[V][Trns][Opt][PRS][2Sg][1Sg]	pugimaghnga
pugimagh[V][Trns][Opt][PRS][2Sg][3Du]	pugimaghqek
pugimagh[V][Trns][Opt][PRS][2Sg][3Pl]	pugimaghqi
pugimagh[V][Trns][Opt][PRS][2Sg][3Sg]	pugimaghhu
pumsug[V][Trns][Opt][PRS][2Sg][1Pl]	pumsugkut
pumsug[V][Trns][Opt][PRS][2Sg][1Sg]	pumsugnga
pumsug[V][Trns][Opt][PRS][2Sg][3Du]	pumsugkek
pumsug[V][Trns][Opt][PRS][2Sg][3Pl]	pumsugki
pumsug[V][Trns][Opt][PRS][2Sg][3Sg]	pumsuggu
qelpeghte[V][Trns][Opt][PRS][2Sg][1Pl]	qelpeghtikut
qelpeghte[V][Trns][Opt][PRS][2Sg][1Sg]	qelpeghtinga
qelpeghte[V][Trns][Opt][PRS][2Sg][3Du]	qelpeghtikek
qelpeghte[V][Trns][Opt][PRS][2Sg][3Pl]	qelpeghtiki
qelpeghte[V][Trns][Opt][PRS][2Sg][3Sg]	qelpeghtigu
tagite[V][Trns][Opt][PRS][2Sg][1Pl]	tagitikut
tagite[V][Trns][Opt][PRS][2Sg][1Sg]	tagitinga
tagite[V][Trns][Opt][PRS][2Sg][3Du]	tagitikek
tagite[V][Trns][Opt][PRS][2Sg][3Pl]	tagitiki
tagite[V][Trns][Opt][PRS][2Sg][3Sg]	tagitigu
tugu[V][Trns][Opt][PRS][2Sg][1Pl]	tugukut
tugu[V][Trns][Opt][PRS][2Sg][1Sg]	tugunga
tugu[V][Trns][Opt][PRS][2Sg][3Du]	tugukek
tugu[V][Trns][Opt][PRS][2Sg][3Pl]	tuguki
tugu[V][Trns][Opt][PRS][2Sg][3Sg]	tugugu
tuqute[V][Trns][Opt][PRS][2Sg][1Pl]	tuqutikut
tuqute[V][Trns][Opt][PRS][2Sg][1Sg]	tuqutinga
tuqute[V][Trns][Opt][PRS][2Sg][3Du]	tuqutikek
tuqute[V][Trns][Opt][PRS][2Sg][3Pl]	tuqutiki
tuqute[V][Trns][Opt][PRS][2Sg][3Sg]	tuqutigu
umeg[V][Trns][Opt][PRS][2Sg][1Pl]	umegkut
umeg[V][Trns][Opt][PRS][2Sg][1Sg]	umegnga
umeg[V][Trns][Opt][PRS][2Sg][3Du]	umegkek
umeg[V][Trns][Opt][PRS][2Sg][3Pl]	umegki
umeg[V][Trns][Opt][PRS][2Sg][3Sg]	uumggu
