aane-(te)sigate[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	aanesigataa
aane-(te)sug[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	aanesugaa
aghvegh-tagh[N→N][N][Abs][3SgPoss][SgPosd]	aghveghtaa
amel-tu[N→V][V][Intr][Ind][3Sg]	ameltuuq
amug-tagh[V→V][V][Intr][Ind][3Sg]	amugtaghtuq
angyagh-tulli[V→V][V][Intr][Ind][3Sg]	angyaghtulliiq
aveg-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	avegtughaa
ayumigh*-tagh[N→N][N][Abs][Unpd][Sg]	ayumightaq
Ayuqligh-ti[N→V][V][Intr][Ind][3Sg]	ayuqlightiiq
ayvegh-tugh[N→V][V][Intr][Ind][3Sg]	ayveghtughtuq
ighleg-tuqagh[V→N][N][Abs][Unpd][Sg]	ighlegtuqaq
ighleg-tu[V→V][V][Intr][Ind][3Sg]	ighlegtuuq
ighnegh-tuumagh*[N→V][Quant_Qual][4Sg]	ighneghtuumaghmi
ighsani-tagh[V→V][V][Intr][Ind][3Sg]	ighsanitaghtuq
iglaghtu-tala[V→N][N][Abs][Unpd][Sg]	iglaghtutala
imagh-tu[N→V][V][Intr][Ind][3Sg]	imaghtuuq
ingaghte-(te)snanigh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	ingaghtesnanighaa
iqe-tu[N→V][V][Intr][Ind][3Sg]	iqetuuq
itegh-(te)snaanghite[Cmpd_Vbl][V][Trns][Ind][1Sg][2Sg]	iteghtesnaanghitamken
kelig-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	keligtughaa
kiig-tagh[N→N][N][Abs][Unpd][Sg]	kiigtaq
liigike-tagh[V→V][V][Intr][Ind][3Sg]	liigiketaghtuq
nanugh*-te[N→V][V][Intr][Ind][3Sg]	nanughtuq
neghe-(te)snanigh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	neghesnanighaa
nuyagh-tu[N→V][V][Intr][Ind][3Sg]	nuyaghtuuq
nuyagh-tuqagh[N→N][N][Abs][Unpd][Sg]	nuyaghtuqaq
pilag-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	pilagtughaa
qavagh-(te)snanigh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	qavaghtesnanighaa
qavagh-(te)sug[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	qavaghtesugaa
qavagh-–tu[V→V][V][Intr][Ind][3Sg]	qavatuuq
qawaag-tagh[N→N][N][Abs][1SgPoss][PlPosd]	qawaagtanka
qawaag-te[N→V][V][Intr][Ind][3Sg]	qawaagtuq
qiighqagh-te[N→V][V][Intr][Ind][3Sg]	qiighqaghtuq
qiingu-tuqagh[N→N][N][Abs][Unpd][Sg]	qiingutuqaq
Quyilleg-ti[N→V][V][Intr][Ind][3Sg]	quyillegtiiq
saqfigh-–tuqagh[V→N][N][Abs][Unpd][Sg]	saqfituqaq
saqfigh-–tu[V→V][V][Intr][Ind][3Sg]	saqfituuq
Sivuqagh*-te[N→V][V][Intr][Ind][3Sg]	sivuqaghtuq
tafsi-tagh[N→N][N][Abs][Unpd][Sg]	tafsitaq
tawaqa-tupag[N→V][V][Intr][Ind][3Sg]	tawaqatupagtuq
tepe-(te)sigate[Cmpd_Vbl][V][Trns][Ind][3Pl][3Sg]	tepesigataat
tugu-(te)snanigh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	tugusnanighaa
ukazigh-tu[N→V][V][Intr][Ind][3Sg]	ukazightuuq
ullghitagh-tagh[V→V][V][Intr][Ind][3Sg]	ullghitaghtaghtuq
uyatu-tala[V→N][N][Abs][Unpd][Sg]	uyatutala
uyavagh-tagh[N→N][N][Abs][Unpd][Sg]	uyavaghtaq
uyghag-tagh[N→N][N][Abs][Unpd][Sg]	uyghagtaq
yaqugh-tagh[N→N][N][Abs][Unpd][Sg]	yaqughtaq
