aghnagh[N][Abs][Unpd][Sg]-llu[Encl]	aghnaqlu
anipa-–ghllag[big.N][N→N][N][Abs][Unpd][Sg]-nguq[Encl]	anipaghllagnguq
aqlaghate*[V][Cond][3Sg]	aqlaghalkan
aqlaghate*[V][Cond][3Sg]	aqlaghaskan
elngaatall-nguq[Encl]	elngaatalnguq
esghagh[V][Cond][4Pl][3Sg]	esghaqumegteggu
esghagh[V][Cond][4Pl][3Sg]	esghaquyigteggu
esghagh[V][Cond][4Sg][3Sg]	esghaqumigu
esghagh[V][Cond][4Sg][3Sg]	esghaqunigu
gaagh-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	gaaghigatuq
itegh-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	iitghigatuq
itegh[V][CnsqI][3Sg]	iteghyan
itegh[V][Cond][3Sg]	iitqan
itegh[V][Cond][4Pl]	iitqumeng
itegh[V][Cond][4Pl]	iitquyeng
itegh[V][Cond][4Sg]	iitqumi
itegh[V][Cond][4Sg]	iitquni
kaate-@₁~f–ragkiigh[to.V.quickly][V→V][V][Ind][3Sg]	kaarragkiightuq
kaate[V][CnsqI][3Sg]	kaasan
kaate[V][CnsqI][3Sg]	kaatngan
kaate[V][Cond][3Sg]	kaaskan
kaate[V][Cond][3Sg]	kaatkan
kuuve[V][CnsqI][3Sg]	kuuvngan
kuuve[V][CnsqI][3Sg]	kuuvyan
kuuve[V][Cond][3Sg]	kuuvegkan
laalighte-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	laalighsigatuq
laalighte[V][Ctmp][1Sg]	laaliggneghma
laalighte[V][Ctmp][1Sg]	laalighhneghma
laalighte[V][Ctmp][1Sg]	laalighhwneghma
laalighte[V][Ctmp][1Sg]	laalillneghma
laalighte[V][Ctmp][1Sg]	laalirrneghma
laalighte[V][Ctmp][3Sg][3Sg]	laaliggneghagu
laalighte[V][Ctmp][3Sg][3Sg]	laalighhneghagu
laalighte[V][Ctmp][3Sg][3Sg]	laalighhwneghagu
laalighte[V][Ctmp][3Sg][3Sg]	laalillneghagu
laalighte[V][Ctmp][3Sg][3Sg]	laalirrneghagu
laalighte[V][Ctmp][3Sg]	laaliggneghan
laalighte[V][Ctmp][3Sg]	laalighhneghan
laalighte[V][Ctmp][3Sg]	laalighhwneghan
laalighte[V][Ctmp][3Sg]	laalillneghan
laalighte[V][Ctmp][3Sg]	laalirrneghan
laalighte[V][Ctmp][4Sg][3Sg]	laaliggneghminigu
laalighte[V][Ctmp][4Sg][3Sg]	laalighhneghminigu
laalighte[V][Ctmp][4Sg][3Sg]	laalighhwneghminigu
laalighte[V][Ctmp][4Sg][3Sg]	laalillneghminigu
laalighte[V][Ctmp][4Sg][3Sg]	laalirrneghminigu
laalighte[V][Ctmp][4Sg]	laaliggneghmini
laalighte[V][Ctmp][4Sg]	laalighhneghmini
laalighte[V][Ctmp][4Sg]	laalighhwneghmini
laalighte[V][Ctmp][4Sg]	laalillneghmini
laalighte[V][Ctmp][4Sg]	laalirrneghmini
mayugh[V][CnsqI][3Sg]	mayughyan
mayugh[V][Cond][3Sg]	mayuqan
neghenghite*[V][CnsqI][3Sg]	neghenghisan
neghenghite*[V][CnsqI][3Sg]	neghenghitngan
neghenghite*[V][Cond][3Sg]	neghenghilkan
neghenghite*[V][Cond][3Sg]	neghenghiskan
neghe-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Pl][3Pl]	neghigatiit
negh-@₁~f–ragkiigh[to.V.quickly][V→V][V][Ind][3Sg][3Sg]	neragkiighaa
qavagh-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	qaviigatuq
qavagh[V][CnsqII][2Sg]	qavaghaqngavek
qiya-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	qiyangigatuq
qiya[V][CnsqI][3Sg]	qiyangan
qiya[V][CnsqI][3Sg]	qiyayan
qiya[V][Cond][3Sg]	qiyakan
Quyilleg[N][Abs][Unpd][Pl]-nguq[Encl]	quyillgennguq
taaqe-@₁~f–ragkiigh[to.V.quickly][V→V][V][Ind][3Sg]	taaqragkiightuq
taaqe-@₁~:(ng₂)igate[to.never.V][to.not.be.V-ing][V→V][V][Ind][3Sg]	taaqigatuq
taaqe[V][CnsqI][3Sg]	taaqngan
taaqe[V][CnsqI][3Sg]	taaqsan
taaqe[V][Cond][3Sg]	taaqegkan
tagi-@₁~f–ragkiigh[to.V.quickly][V→V][V][Ind][3Sg]	tagiragkiightuq
ukig[V][CnsqI][3Sg]	ukigyan
ukig[V][Cond][3Sg]	ukikan
ungipaghagh[N][Abs][4SgPoss][SgPosd]-nguq[Encl]	ungipaghaninguq
yug[N][Abs][Sg]-llu[Encl]	yuuklu
