alleg[V][Intr][Intrg][1Du]	aallgestung
alleg[V][Intr][Intrg][1Pl]	aallgesta
alleg[V][Intr][Intrg][1Sg]	allegsinga
alleg[V][Intr][Intrg][2Du]	aallgestaak
alleg[V][Intr][Intrg][2Du]	aallgestek
alleg[V][Intr][Intrg][2Pl]	aallgetsi
alleg[V][Intr][Intrg][2Pl]	aallgetsii
alleg[V][Intr][Intrg][2Sg]	allegsiin
alleg[V][Intr][Intrg][2Sg]	allegsin
itegh[V][Intr][Intrg][1Du]	iitghestung
itegh[V][Intr][Intrg][1Pl]	iitghesta
itegh[V][Intr][Intrg][1Sg]	iteghsinga
itegh[V][Intr][Intrg][2Du]	iitghestaak
itegh[V][Intr][Intrg][2Du]	iitghestek
itegh[V][Intr][Intrg][2Pl]	iitghetsi
itegh[V][Intr][Intrg][2Pl]	iitghetsii
itegh[V][Intr][Intrg][2Sg]	iteghsiin
itegh[V][Intr][Intrg][2Sg]	iteghsin
kayusiite[V][Intr][Intrg][1Du]	kayusiitestung
kayusiite[V][Intr][Intrg][1Pl]	kayusiitesta
kayusiite[V][Intr][Intrg][1Sg]	kayusiisinga
kayusiite[V][Intr][Intrg][2Du]	kayusiitestaak
kayusiite[V][Intr][Intrg][2Du]	kayusiitestek
kayusiite[V][Intr][Intrg][2Pl]	kayusiitetsi
kayusiite[V][Intr][Intrg][2Pl]	kayusiitetsii
kayusiite[V][Intr][Intrg][2Sg]	kayusiisiin
kayusiite[V][Intr][Intrg][2Sg]	kayusiisin
meghnugh[V][Intr][Intrg][1Du]	meghnughestung
meghnugh[V][Intr][Intrg][1Pl]	meghnughesta
meghnugh[V][Intr][Intrg][1Sg]	meghnughsinga
meghnugh[V][Intr][Intrg][2Du]	meghnughestaak
meghnugh[V][Intr][Intrg][2Du]	meghnughestek
meghnugh[V][Intr][Intrg][2Pl]	meghnughetsi
meghnugh[V][Intr][Intrg][2Pl]	meghnughetsii
meghnugh[V][Intr][Intrg][2Sg]	meghnughsiin
meghnugh[V][Intr][Intrg][2Sg]	meghnughsin
meqsug[V][Intr][Intrg][1Du]	meqsugestung
meqsug[V][Intr][Intrg][1Pl]	meqsugesta
meqsug[V][Intr][Intrg][1Sg]	meqsugsinga
meqsug[V][Intr][Intrg][2Du]	meqsugestaak
meqsug[V][Intr][Intrg][2Du]	meqsugestek
meqsug[V][Intr][Intrg][2Pl]	meqsugetsi
meqsug[V][Intr][Intrg][2Pl]	meqsugetsii
meqsug[V][Intr][Intrg][2Sg]	meqsugsiin
meqsug[V][Intr][Intrg][2Sg]	meqsugsin
pi[V][Intr][Intrg][1Du]	pistung
pi[V][Intr][Intrg][1Pl]	pista
pi[V][Intr][Intrg][1Sg]	pizinga
pi[V][Intr][Intrg][2Du]	pistaak
pi[V][Intr][Intrg][2Du]	pistek
pi[V][Intr][Intrg][2Pl]	pitsi
pi[V][Intr][Intrg][2Pl]	pitsii
pi[V][Intr][Intrg][2Sg]	piziin
pi[V][Intr][Intrg][2Sg]	pizin
qavaghni[V][Intr][Intrg][1Du]	qavaghnistung
qavaghni[V][Intr][Intrg][1Pl]	qavaghnista
qavaghni[V][Intr][Intrg][1Sg]	qavaghnizinga
qavaghni[V][Intr][Intrg][2Du]	qavaghnistaak
qavaghni[V][Intr][Intrg][2Du]	qavaghnistek
qavaghni[V][Intr][Intrg][2Pl]	qavaghnitsi
qavaghni[V][Intr][Intrg][2Pl]	qavaghnitsii
qavaghni[V][Intr][Intrg][2Sg]	qavaghniziin
qavaghni[V][Intr][Intrg][2Sg]	qavaghnizin
qiya[V][Intr][Intrg][1Du]	qiyastung
qiya[V][Intr][Intrg][1Pl]	qiyasta
qiya[V][Intr][Intrg][1Sg]	qiyazinga
qiya[V][Intr][Intrg][2Du]	qiyastaak
qiya[V][Intr][Intrg][2Du]	qiyastek
qiya[V][Intr][Intrg][2Pl]	qiyatsi
qiya[V][Intr][Intrg][2Pl]	qiyatsii
qiya[V][Intr][Intrg][2Sg]	qiyaziin
qiya[V][Intr][Intrg][2Sg]	qiyazin
