aane[V][Intr][Opt][PRS][1Sg]	aanlanga
aane[V][Intr][Opt][PRS][3Sg]	aanli
aapte[V][Trns][Opt][PRS][1Sg][3Sg]	aaplakun
aghnaghagh*-–ghhagh*[N→N][N][Abs][Unpd][Pl]	aghnaghaghhaat
aghula-@₁~fvik[V→N][N][Abs][Unpd][Sg]	aghulavik
aghulaqe-@₁~fnaqe[V→V]-@₁~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]	aghulaqnaquten
aglagh[V][Intr][Opt][FUT][1Pl]	aglaghhaakut
alleg[V][Intr][Opt][FUT][2Sg]	aallgaaten
ingaghte-@₁~fvik[V→N][N][Abs][Unpd][Sg]	ingaghfik
inghu-@₁~fyagh[V→V][V][Intr][Ind][3Sg]	inghuyaghtuq
itegh-@₁~fyagh[V→V][V][Intr][Ind][3Sg]	iteghyaghtuq
itegh[V][Intr][Opt][FUT][2Sg]	iitghaaten
iyatagh-@₁~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]	iyataaten
kaate-@₁~fvik[V→N][N][Abs][Unpd][Sg]	kaatfik
kaaw[V][Trns][Opt][FUT][NEG][2Sg][1Sg]	kaawyaqunanga
kaviigh-–ghhagh*[N→N][N][Abs][Unpd][Sg]	kaviighhaq
kayusigh[V][Trns][Opt][FUT][2Sg][1Sg]	kayusighnakevnga
kayusigh[V][Trns][Opt][PRS][1Sg][2Sg]	kayusighlaken
kiyaghte[V][Intr][Opt][FUT][1Sg]	kiyaghlleghhiinga
laalighte-@₁~fyug[V→V]-–pigte[V→V][V][Trns][Ind][1Sg][3Pl]	laalighsupigtanka
neghe-@₁–nghite[V→V][V][Intr][Opt][FUT][1Pl]	neghenghillghaakut
neghe[V][Intr][Opt][FUT][2Sg]	neghelghaaten
neghe[V][Intr][Opt][FUT][NEG][2Sg]	neghyaqunang
neghe[V][Trns][Opt][FUT][2Sg][3Sg]	neghnaken
neghe[V][Trns][Opt][FUT][NEG][2Sg][3Pl]	neghyaqunaki
neghe[V][Trns][Opt][FUT][NEG][2Sg][3Sg]	neghyaqunaan
negh-@₁~fvik[V→N][N][Abs][Unpd][Sg]	neghvik
negh[V][Trns][Opt][PRS][3Sg][3Sg]	neghligu
pi[V][Intr][Ptcp_Obl][1Pl]	piyalghiikut
pi[V][Intr][Ptcp_Obl][1Sg]	piyalghiinga
pi[V][Intr][Ptcp_Obl][2Sg]	piyalghiiten
pi[V][Intr][Ptcp_Obl][4Pl]	piyalghiimeng
pi[V][Intr][Ptcp_Obl][4Sg]	piyalghiimi
pi[V][Trns][Ptcp_Obl][1Sg][3Du]	piyaqegka
pi[V][Trns][Ptcp_Obl][2Sg][1Sg]	piyaqevnga
pi[V][Trns][Ptcp_Obl][2Sg][3Sg]	piyaqen
pi[V][Trns][Ptcp_Obl][4Sg][1Sg]	piyaqmininga
pi[V][Trns][Ptcp_Obl][4Sg][3Sg]	piyaqminigu
qavagh[V][Intr][Opt][FUT][2Sg]	qavaghhaaten
qavagh[V][Intr][Opt][PRS][1Sg]	qavaghlanga
taaqe-@₁~fvik[V→N][N][Abs][Unpd][Sg]	taaqfik
tuqute[V][Trns][Opt][PRS][3Sg][3Pl]	tuqulliki
ukig[V][Intr][Opt][FUT][2Sg]	ukiggaaten
yughagh-@₁~fvik[V→N][N][Abs][Unpd][Sg]	yughaghvik
