aghvigh[V][Trns][Intrg][3Sg][1Du]	aghvightinkung
aghvigh[V][Trns][Intrg][3Sg][1Pl]	aghvightinkut
aghvigh[V][Trns][Intrg][3Sg][1Sg]	aghvightanga
aghvigh[V][Trns][Intrg][3Sg][2Du]	aghvightistek
aghvigh[V][Trns][Intrg][3Sg][2Pl]	aghvightisi
aghvigh[V][Trns][Intrg][3Sg][2Sg]	aghvightaten
aghvigh[V][Trns][Intrg][3Sg][3Du]	aghvightakek
aghvigh[V][Trns][Intrg][3Sg][3Pl]	aghvightaki
aghvigh[V][Trns][Intrg][3Sg][3Sg]	aghvightagu
aghvigh[V][Trns][Intrg][3Sg][3Sg]	aghvightaguu
amqeghte[V][Trns][Intrg][3Sg][1Du]	amqeghtinkung
amqeghte[V][Trns][Intrg][3Sg][1Pl]	amqeghtinkut
amqeghte[V][Trns][Intrg][3Sg][1Sg]	amqeghtanga
amqeghte[V][Trns][Intrg][3Sg][2Du]	amqeghtistek
amqeghte[V][Trns][Intrg][3Sg][2Pl]	amqeghtisi
amqeghte[V][Trns][Intrg][3Sg][2Sg]	amqeghtaten
amqeghte[V][Trns][Intrg][3Sg][3Du]	amqeghtakek
amqeghte[V][Trns][Intrg][3Sg][3Pl]	amqeghtaki
amqeghte[V][Trns][Intrg][3Sg][3Sg]	amqeghtagu
amqeghte[V][Trns][Intrg][3Sg][3Sg]	amqeghtaguu
naalke[V][Trns][Intrg][3Sg][1Du]	naalkinkung
naalke[V][Trns][Intrg][3Sg][1Pl]	naalkinkut
naalke[V][Trns][Intrg][3Sg][1Sg]	naalkanga
naalke[V][Trns][Intrg][3Sg][2Du]	naalkistek
naalke[V][Trns][Intrg][3Sg][2Pl]	naalkisi
naalke[V][Trns][Intrg][3Sg][2Sg]	naalkaten
naalke[V][Trns][Intrg][3Sg][3Du]	naalkakek
naalke[V][Trns][Intrg][3Sg][3Pl]	naalkaki
naalke[V][Trns][Intrg][3Sg][3Sg]	naalkagu
naalke[V][Trns][Intrg][3Sg][3Sg]	naalkaguu
naallghute[V][Trns][Intrg][3Sg][1Du]	naallghutinkung
naallghute[V][Trns][Intrg][3Sg][1Pl]	naallghutinkut
naallghute[V][Trns][Intrg][3Sg][1Sg]	naallghutanga
naallghute[V][Trns][Intrg][3Sg][2Du]	naallghutistek
naallghute[V][Trns][Intrg][3Sg][2Pl]	naallghutisi
naallghute[V][Trns][Intrg][3Sg][2Sg]	naallghutaten
naallghute[V][Trns][Intrg][3Sg][3Du]	naallghutakek
naallghute[V][Trns][Intrg][3Sg][3Pl]	naallghutaki
naallghute[V][Trns][Intrg][3Sg][3Sg]	naallghutagu
naallghute[V][Trns][Intrg][3Sg][3Sg]	naallghutaguu
payegh[V][Trns][Intrg][3Sg][1Du]	payeghtinkung
payegh[V][Trns][Intrg][3Sg][1Pl]	payeghtinkut
payegh[V][Trns][Intrg][3Sg][1Sg]	payeghtanga
payegh[V][Trns][Intrg][3Sg][2Du]	payeghtistek
payegh[V][Trns][Intrg][3Sg][2Pl]	payeghtisi
payegh[V][Trns][Intrg][3Sg][2Sg]	payeghtaten
payegh[V][Trns][Intrg][3Sg][3Du]	payeghtakek
payegh[V][Trns][Intrg][3Sg][3Pl]	payeghtaki
payegh[V][Trns][Intrg][3Sg][3Sg]	payeghtagu
payegh[V][Trns][Intrg][3Sg][3Sg]	payeghtaguu
ugpeqe[V][Trns][Intrg][3Sg][1Du]	ugpeqinkung
ugpeqe[V][Trns][Intrg][3Sg][1Pl]	ugpeqinkut
ugpeqe[V][Trns][Intrg][3Sg][1Sg]	ugpeqanga
ugpeqe[V][Trns][Intrg][3Sg][2Du]	ugpeqistek
ugpeqe[V][Trns][Intrg][3Sg][2Pl]	ugpeqisi
ugpeqe[V][Trns][Intrg][3Sg][2Sg]	ugpeqaten
ugpeqe[V][Trns][Intrg][3Sg][3Du]	ugpeqakek
ugpeqe[V][Trns][Intrg][3Sg][3Pl]	ugpeqaki
ugpeqe[V][Trns][Intrg][3Sg][3Sg]	ugpeqagu
ugpeqe[V][Trns][Intrg][3Sg][3Sg]	ugpeqaguu
ulima[V][Trns][Intrg][3Sg][1Du]	ulimiinkung
ulima[V][Trns][Intrg][3Sg][1Pl]	ulimiinkut
ulima[V][Trns][Intrg][3Sg][1Sg]	ulimaanga
ulima[V][Trns][Intrg][3Sg][2Du]	ulimiistek
ulima[V][Trns][Intrg][3Sg][2Pl]	ulimiisi
ulima[V][Trns][Intrg][3Sg][2Sg]	ulimaaten
ulima[V][Trns][Intrg][3Sg][3Du]	ulimaakek
ulima[V][Trns][Intrg][3Sg][3Pl]	ulimaaki
ulima[V][Trns][Intrg][3Sg][3Sg]	ulimaagu
ulima[V][Trns][Intrg][3Sg][3Sg]	ulimaaguu
ungipaghaate[V][Trns][Intrg][3Sg][1Du]	ungipaghaatinkung
ungipaghaate[V][Trns][Intrg][3Sg][1Pl]	ungipaghaatinkut
ungipaghaate[V][Trns][Intrg][3Sg][1Sg]	ungipaghaatanga
ungipaghaate[V][Trns][Intrg][3Sg][2Du]	ungipaghaatistek
ungipaghaate[V][Trns][Intrg][3Sg][2Pl]	ungipaghaatisi
ungipaghaate[V][Trns][Intrg][3Sg][2Sg]	ungipaghaataten
ungipaghaate[V][Trns][Intrg][3Sg][3Du]	ungipaghaatakek
ungipaghaate[V][Trns][Intrg][3Sg][3Pl]	ungipaghaataki
ungipaghaate[V][Trns][Intrg][3Sg][3Sg]	ungipaghaatagu
ungipaghaate[V][Trns][Intrg][3Sg][3Sg]	ungipaghaataguu
