alleg[V][Intrg][1Du]	aallgestung
alleg[V][Intrg][1Pl]	aallgesta
alleg[V][Intrg][1Sg]	allegsinga
alleg[V][Intrg][2Du]	aallgestek
alleg[V][Intrg][2Pl]	aallgetsi
alleg[V][Intrg][2Sg]	allegsin
itegh[V][Intrg][1Du]	iitghestung
itegh[V][Intrg][1Pl]	iitghesta
itegh[V][Intrg][1Sg]	iteghsinga
itegh[V][Intrg][2Du]	iitghestek
itegh[V][Intrg][2Pl]	iitghetsi
itegh[V][Intrg][2Sg]	iteghsin
kayusiite[V][Intrg][1Du]	kayusiitestung
kayusiite[V][Intrg][1Pl]	kayusiitesta
kayusiite[V][Intrg][1Sg]	kayusiisinga
kayusiite[V][Intrg][2Du]	kayusiitestek
kayusiite[V][Intrg][2Pl]	kayusiitetsi
kayusiite[V][Intrg][2Sg]	kayusiisin
meghnugh[V][Intrg][1Du]	meghnughestung
meghnugh[V][Intrg][1Pl]	meghnughesta
meghnugh[V][Intrg][1Sg]	meghnughsinga
meghnugh[V][Intrg][2Du]	meghnughestek
meghnugh[V][Intrg][2Pl]	meghnughetsi
meghnugh[V][Intrg][2Sg]	meghnughsin
meqsug[V][Intrg][1Du]	meqsugestung
meqsug[V][Intrg][1Pl]	meqsugesta
meqsug[V][Intrg][1Sg]	meqsugsinga
meqsug[V][Intrg][2Du]	meqsugestek
meqsug[V][Intrg][2Pl]	meqsugetsi
meqsug[V][Intrg][2Sg]	meqsugsin
pi[V][Intrg][1Du]	pistung
pi[V][Intrg][1Pl]	pista
pi[V][Intrg][1Sg]	pizinga
pi[V][Intrg][2Du]	pistek
pi[V][Intrg][2Pl]	pitsi
pi[V][Intrg][2Sg]	pizin
qavaghni[V][Intrg][1Du]	qavaghnistung
qavaghni[V][Intrg][1Pl]	qavaghnista
qavaghni[V][Intrg][1Sg]	qavaghnizinga
qavaghni[V][Intrg][2Du]	qavaghnistek
qavaghni[V][Intrg][2Pl]	qavaghnitsi
qavaghni[V][Intrg][2Sg]	qavaghnizin
qiya[V][Intrg][1Du]	qiyastung
qiya[V][Intrg][1Pl]	qiyasta
qiya[V][Intrg][1Sg]	qiyazinga
qiya[V][Intrg][2Du]	qiyastek
qiya[V][Intrg][2Pl]	qiyatsi
qiya[V][Intrg][2Sg]	qiyazin
